"unit","group_name_partner","date_and_time","borough","locationtype","location","event_name","event_type","category","classification","attendance","audience"
"Urban Park Rangers",,"2019-06-27T15:00:00.000","Manhattan","Pool","Wagner","Bugging Out","Agency Produced Event","Nature","Cool Pools","90","General Public"
"Recreation",,"2019-06-27T20:30:00.000","Manhattan","Recreation Center","Tony Dapolito Recreation Center","Pride Movie Series: Bohemian Rhapsody","Community Based Event","Arts/Culture","Movies","282","Children;#Adults;#Young Adult;#Teens;#General Public;#Seniors;#Adaptive"
"Recreation","ShapeUp NYC","2019-06-26T19:00:00.000","Manhattan","Recreation Center","Tony Dapolito Recreation Center","NYC Parks Pride Ride 2019","Agency Produced Event","Fitness","Fitness","39","Young Adult;#Adults;#General Public"
"Urban Park Rangers",,"2019-06-27T15:00:00.000","Manhattan","Pool","Sheltering Arms","Fish or Not a Fish","Agency Produced Event","Nature","Cool Pools","47","General Public"
"Urban Park Rangers",,"2019-06-27T14:30:00.000","Queens","Pool","Liberty","Gone Fishin'","Agency Produced Event","Nature","Cool Pools","22","General Public"
"Recreation",,"2018-06-15T20:30:00.000","Staten Island","Other","Midland Field","Movies Under the Stars: Transformers: The Last Knight","Community Based Event","Mobile Unit","Movies","50","General Public"
"Urban Park Rangers",,"2019-06-28T11:00:00.000","Queens","Pool","Fisher Pool","Connect Four","Agency Produced Event","Nature","Cool Pools","65","General Public"
"Urban Park Rangers",,"2019-06-28T10:30:00.000","Staten Island","Pool","West Brighton","Leapin' Frogs","Agency Produced Event","Nature","Cool Pools","15","General Public"
"Urban Park Rangers",,"2019-06-27T14:30:00.000","Brooklyn","Pool","Commodore barry","Cool Pools","Agency Produced Event","Nature","Cool Pools","64","General Public"
"Urban Park Rangers",,"2019-06-28T10:30:00.000","Manhattan","Pool","Dry Dock","Fish or not a Fish","Agency Produced Event","Nature","Cool Pools","35","General Public"
"Urban Park Rangers",,"2019-06-28T10:30:00.000","Bronx","Pool","Claremont","Agency Produced Event","Agency Produced Event","Nature","Cool Pools","98","Children;#Adults;#Teens;#Young Adult;#Tot"
"Recreation",,"2019-06-25T20:00:00.000","Bronx","Park","Williamsbridge Oval Park","Avengers: Infinity Wars","Community Based Event","Mobile Unit","M.U.T.S","93","General Public"
"Urban Park Rangers",,"2019-06-28T15:00:00.000","Manhattan","Pool","Sheltering Arms","Turtle Time","Agency Produced Event","Nature","Cool Pools","25","General Public"
"Recreation",,"2019-02-15T19:00:00.000","Manhattan","Recreation Center","Jackie Robinson Recreation Center","Paint Social","Agency Produced Event","Arts/Culture",,"18","Adults;#Young Adult"
"Urban Park Rangers",,"2019-06-28T14:30:00.000","Queens","Pool","Liberty","Connect Four","Agency Produced Event","Nature","Cool Pools","30","General Public"
"Recreation",,"2019-06-26T20:00:00.000","Bronx","Park","Henry Hudson Park","Lego Movie: The Second Part","Community Based Event","Mobile Unit","M.U.T.S","15","General Public"
"Recreation","Councilman Cohen","2018-06-19T20:30:00.000","Bronx","Recreation Center","Williamsbridge Oval Recreation Center","Movies Under The Stars: Black Panther","Community Based Event","Mobile Unit","Movies","126","General Public"
"Recreation",,"2019-04-20T11:00:00.000","Manhattan","Recreation Center","Jackie Robinson Recreation Center","Bunny Wonderland","Local Event","Family Festival",,"175","Children;#Tot;#Teens;#Adults;#Young Adult"
"Urban Park Rangers",,"2019-06-28T14:30:00.000","Bronx","Pool","Mapes",,"Agency Produced Event","Nature","Cool Pools","60","General Public"
"Urban Park Rangers",,"2019-06-28T14:30:00.000","Staten Island","Pool","Tottenville","Leapin' Frogs","Agency Produced Event","Nature","Cool Pools","31","General Public"
"Urban Park Rangers",,"2019-06-29T11:00:00.000","Queens","Pool","Fisher Pool","Gone Fishin'","Agency Produced Event","Nature","Cool Pools","55","General Public"
"Urban Park Rangers",,"2019-06-28T10:00:00.000","Manhattan","Pool","Wagner","Buggin' Out","Agency Produced Event","Nature","Cool Pools","38","General Public"
"Recreation",,"2019-03-15T19:00:00.000","Manhattan","Recreation Center","Jackie Robinson Recreation Center","Paint Social","Agency Produced Event","Arts/Culture",,"22","Adults"
"Urban Park Rangers",,"2019-06-29T10:30:00.000","Bronx","Pool","Claremont","Animal Ambassador","Agency Produced Event","Nature","Cool Pools","28","General Public"
"Urban Park Rangers",,"2019-06-29T10:30:00.000","Manhattan","Pool","Dry Dock","Tree Mystery Box","Agency Produced Event","Nature","Cool Pools","15","General Public"
"Urban Park Rangers",,"2019-06-28T10:30:00.000","Brooklyn","Pool","Douglas and Degraw","Cool Pools","Agency Produced Event","Nature","Cool Pools","120","General Public"
